url	acm	aide	al	and	appliquée	armée	automatique	axe	baptiste	compétitions	congo	cyclisme	distributions	détaillé	espagne	fenêtre	france	hiérarchique	interaction	japanese	jour	kamer	lignes	louvois	marguerite	mesure	montpellier	métrique	nement	new	nœud	police	positionnement	probabilités	province	relativité	rois	romain	régression	scalaires	spectral	stables	statistiques	styles	union	université	utrecht	valeurs	variable	événement
Charles_Spearman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harold_Hotelling	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Analyse_factorielle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H._O._Hirschfeld	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	5	0	0	1	0	0	1	0
Louis_Leon_Thurstone	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0
Brigitte_Escofier-Cordier	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	5	0	0	2	0	0	1	0
Invincible_armada	0	0	0	0	0	8	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Languedoc	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Fouille_de_texte	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0
Inserm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pays-bas	0	0	0	0	0	3	0	0	0	0	0	0	0	8	6	0	8	0	0	0	9	9	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	9	1	9	0	0	0
Sport	0	1	0	6	0	0	0	0	0	9	0	9	0	4	6	0	24	0	0	0	0	0	0	0	0	0	4	0	9	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0
Pierre_Bourdieu	0	1	0	2	1	2	0	1	0	0	0	0	0	3	0	0	17	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	1	0	0
Japon	0	3	0	13	0	3	0	2	0	0	0	0	0	15	1	0	4	0	0	9	5	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	5	0	0	1	0
Louis_XIV	0	1	0	0	0	8	0	0	9	0	0	0	0	6	76	0	150	0	0	0	4	0	0	9	8	3	0	0	0	0	0	9	0	0	0	0	8	1	0	0	0	0	0	0	1	0	1	0	0	0
Assurance	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	4	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	9
Tableau_de_contingence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R_(logiciel)	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
Calcul_matriciel	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	5	0	0
ANCOVA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0
Valeur_propre,_vecteur_propre_et_espace_propre	0	2	2	1	5	0	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	9	0	0	0	1	1	9	3	0	0	3	0	63	0	0
ANOVA	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	8	0	0	0	1	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	5	0	0	0	0	1	17	0
K-means	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Indice_et_distance_de_Jaccard	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
Microfinance	0	0	9	16	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	4	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Distance_de_Mahalanobis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Positionnement_multidimensionnel	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Distance_euclidienne	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ronald_Aylmer_Fisher	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	4	0	0	0	5	0	0	2	0	0	0	0
Le_Seuil	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
